datatime;timestamp;DevDatetime;CO [ppm];CO2 [ppm]
2025-03-16 22:27:35;1742153255;16.03.25 22:37:59;0.3;443
2025-03-16 22:28:35;1742153315;16.03.25 22:38:42;0.2;443
2025-03-16 22:29:35;1742153375;16.03.25 22:39:46;0.3;453
2025-03-16 22:30:35;1742153435;16.03.25 22:40:59;0.2;456
2025-03-16 22:31:35;1742153495;16.03.25 22:41:54;0.2;453
2025-03-16 22:33:03;1742153583;16.03.25 22:43:23;0.2;447
2025-03-16 22:46:05;1742154365;16.03.25 22:56:31;0.2;443
2025-03-16 22:49:09;1742154549;16.03.25 22:59:23;0.2;440
2025-03-16 22:51:11;1742154671;16.03.25 23:01:30;0.3;444
2025-03-16 22:52:25;1742154745;16.03.25 23:02:34;0.2;444
2025-03-16 22:53:25;1742154805;16.03.25 23:03:39;0.3;444
2025-03-16 22:54:25;1742154865;16.03.25 23:04:43;0.2;444
2025-03-16 22:55:25;1742154925;16.03.25 23:05:47;0.3;444
2025-03-16 22:56:25;1742154985;16.03.25 23:06:51;0.3;444
2025-03-16 22:57:25;1742155045;16.03.25 23:07:34;0.2;444
2025-03-16 22:58:25;1742155105;16.03.25 23:08:38;0.3;444
2025-03-16 22:59:25;1742155165;16.03.25 23:09:42;0.2;444
2025-03-16 23:00:25;1742155225;16.03.25 23:10:46;0.3;444
2025-03-16 23:01:25;1742155285;16.03.25 23:11:50;0.3;444
2025-03-16 23:02:25;1742155345;16.03.25 23:12:33;0.3;444
2025-03-16 23:03:25;1742155405;16.03.25 23:13:37;0.2;444
2025-03-16 23:04:25;1742155465;16.03.25 23:14:41;0.2;444
2025-03-16 23:05:25;1742155525;16.03.25 23:15:45;0.2;444
2025-03-16 23:06:25;1742155585;16.03.25 23:16:50;0.3;444
2025-03-16 23:07:25;1742155645;16.03.25 23:17:32;0.2;444
2025-03-16 23:08:25;1742155705;16.03.25 23:18:37;0.2;444
2025-03-16 23:09:25;1742155765;16.03.25 23:19:41;0.3;444
2025-03-16 23:10:25;1742155825;16.03.25 23:20:45;0.2;441
2025-03-16 23:11:25;1742155885;16.03.25 23:21:49;0.3;441
2025-03-16 23:12:25;1742155945;16.03.25 23:22:32;0.3;441
2025-03-16 23:13:25;1742156005;16.03.25 23:23:36;0.2;441
2025-03-16 23:14:25;1742156065;16.03.25 23:24:40;0.2;441
2025-03-16 23:15:25;1742156125;16.03.25 23:25:44;0.2;441
2025-03-16 23:16:25;1742156185;16.03.25 23:26:48;0.3;441
2025-03-16 23:17:25;1742156245;16.03.25 23:27:31;0.2;441
2025-03-16 23:18:25;1742156305;16.03.25 23:28:35;0.2;441
2025-03-16 23:19:25;1742156365;16.03.25 23:29:39;0.3;441
2025-03-16 23:20:25;1742156425;16.03.25 23:30:43;0.2;441
2025-03-16 23:21:25;1742156485;16.03.25 23:31:48;0.2;441
2025-03-16 23:22:25;1742156545;16.03.25 23:32:30;0.2;441
2025-03-16 23:23:25;1742156605;16.03.25 23:33:34;0.2;441
2025-03-16 23:24:25;1742156665;16.03.25 23:34:39;0.2;441
2025-03-16 23:25:25;1742156725;16.03.25 23:35:43;0.3;441
2025-03-16 23:26:25;1742156785;16.03.25 23:36:47;0.3;441
2025-03-16 23:27:25;1742156845;16.03.25 23:37:51;0.3;441
2025-03-16 23:28:25;1742156905;16.03.25 23:38:34;0.2;441
2025-03-16 23:29:25;1742156965;16.03.25 23:39:38;0.2;441
2025-03-16 23:30:25;1742157025;16.03.25 23:40:42;0.2;439
2025-03-16 23:31:25;1742157085;16.03.25 23:41:46;0.2;436
2025-03-16 23:32:25;1742157145;16.03.25 23:42:50;0.2;436
